trade_date,open,high,low,close,pct_chg,vol,amount,adj_factor,open_qfq,close_qfq,high_qfq,low_qfq,open_hfq,close_hfq,high_hfq,low_hfq
20250718,268.70,272.45,265.80,271.20,2.15,221866,5981601,1.912500,263.60,266.05,267.28,260.76,268.70,271.20,272.45,265.80
20250721,277.00,282.00,273.55,279.66,3.12,324863,9047295,1.912500,271.74,274.35,276.65,268.36,277.00,279.66,282.00,273.55
20250722,280.00,290.00,279.18,286.66,2.50,333090,9468912,1.912500,274.69,281.22,284.50,273.88,280.00,286.66,290.00,279.18
20250723,288.16,290.75,286.59,287.02,0.13,200190,5772653,1.912500,282.69,281.57,285.23,281.15,288.16,287.02,290.75,286.59
20250724,289.00,289.20,282.91,285.20,-0.63,223891,6394082,1.912500,283.52,279.79,283.71,277.54,289.00,285.20,289.20,282.91
20250725,285.20,285.20,281.75,282.80,-0.84,134326,3802835,1.912500,279.79,277.43,279.79,276.40,285.20,282.80,285.20,281.75
20250728,283.02,289.09,281.30,286.30,1.24,238973,6830867,1.912500,277.65,280.87,283.60,275.96,283.02,286.30,289.09,281.30
20250729,286.70,292.00,286.68,291.82,1.93,233946,6785428,1.912500,281.26,286.28,286.46,281.24,286.70,291.82,292.00,286.68
20250730,292.20,292.20,276.36,277.09,-5.05,415943,11712765,1.912500,286.65,271.83,286.65,271.11,292.20,277.09,292.20,276.36
20250731,280.80,281.98,264.62,264.62,-4.50,447104,12088515,1.912500,275.47,259.60,276.63,259.60,280.80,264.62,281.98,264.62
20250801,264.80,266.60,262.75,263.07,-0.59,252500,6682815,1.912500,259.77,258.08,261.54,257.76,264.80,263.07,266.60,262.75
20250804,263.00,268.00,261.70,266.48,1.30,237682,6286238,1.912500,258.01,261.42,262.91,256.73,263.00,266.48,268.00,261.70
20250805,267.50,269.00,263.50,265.70,-0.29,219760,5844479,1.912500,262.42,260.66,263.89,258.50,267.50,265.70,269.00,263.50
20250806,265.22,266.90,263.23,265.00,-0.26,153233,4058482,1.912500,260.19,259.97,261.83,258.23,265.22,265.00,266.90,263.23
20250807,265.00,266.49,262.20,263.05,-0.74,165481,4363462,1.912500,259.97,258.06,261.43,257.22,265.00,263.05,266.49,262.20
20250808,264.00,266.16,262.01,263.48,0.16,174282,4604736,1.912500,258.99,258.48,261.11,257.04,264.00,263.48,266.16,262.01
20250811,263.48,266.15,262.50,263.66,0.07,213309,5627553,1.912500,258.48,258.66,261.10,257.52,263.48,263.66,266.15,262.50
20250812,263.50,265.18,257.72,263.25,-0.16,222407,5829141,1.912500,258.50,258.25,260.15,252.83,263.50,263.25,265.18,257.72
20250813,264.77,275.00,264.51,273.60,3.93,394668,10661085,1.912500,259.74,268.41,269.78,259.49,264.77,273.60,275.00,264.51
20250814,276.89,282.00,274.48,279.89,2.30,371708,10378442,1.912500,271.63,274.58,276.65,269.27,276.89,279.89,282.00,274.48
20250815,278.38,282.30,276.10,280.67,0.28,241092,6735591,1.912500,273.10,275.34,276.94,270.86,278.38,280.67,282.30,276.10
20250818,280.67,285.48,278.02,283.00,0.83,285288,8056187,1.912500,275.34,277.63,280.06,272.74,280.67,283.00,285.48,278.02
20250819,283.00,284.00,276.22,277.80,-1.84,244286,6816443,1.912500,277.63,272.53,278.61,270.98,283.00,277.80,284.00,276.22
20250820,277.50,279.99,272.05,279.20,0.87,233535,6414344,1.919400,273.22,274.89,275.67,267.85,278.50,280.21,281.00,273.03
20250821,279.27,281.80,278.00,279.00,-0.07,182698,5103915,1.919400,274.96,274.69,277.45,273.71,280.28,280.01,282.82,279.00
20250822,278.93,289.35,278.60,287.18,2.93,264219,7543699,1.919400,274.62,282.75,284.88,274.30,279.94,288.22,290.39,279.61
20250825,290.00,293.88,286.78,290.28,1.08,312297,9046693,1.919400,285.52,285.80,289.34,282.35,291.05,291.33,294.94,287.81
20250826,287.02,290.99,285.58,289.50,-0.27,230245,6648848,1.919400,282.59,285.03,286.50,281.17,288.06,290.54,292.04,286.61
20250827,289.00,289.54,278.19,278.30,-3.87,382584,10859010,1.919400,284.54,274.00,285.07,273.89,290.04,279.30,290.58,279.19
20250828,276.06,278.99,272.72,277.41,-0.32,304664,8407975,1.919400,271.80,273.13,274.68,268.51,277.06,278.41,280.00,273.70
20250829,278.31,316.66,277.95,306.18,10.37,780139,23482894,1.919400,274.01,301.45,311.77,273.66,279.31,307.28,317.80,278.95
20250901,306.50,306.90,299.30,304.00,-0.71,429964,13012796,1.919400,301.77,299.31,302.16,294.68,307.61,305.10,308.01,300.38
20250902,304.03,311.10,299.03,302.87,-0.37,371169,11289093,1.919400,299.34,298.19,306.30,294.41,305.13,303.96,312.22,300.11
20250903,303.50,311.65,303.03,309.00,2.02,508975,15640549,1.919400,298.81,304.23,306.84,298.35,304.59,310.11,312.77,304.12
20250904,313.47,323.33,300.63,304.03,-1.61,657548,20442631,1.919400,308.63,299.34,318.34,295.99,314.60,305.13,324.50,301.71
20250905,299.90,325.11,299.82,325.11,6.93,708198,22440212,1.919400,295.27,320.09,320.09,295.19,300.98,326.28,326.28,300.90
20250908,334.00,337.65,323.50,325.37,0.08,588346,19349632,1.919400,328.84,320.35,332.44,318.51,335.21,326.54,338.87,324.67
20250909,322.80,334.58,317.16,320.00,-1.65,434024,14085498,1.919400,317.82,315.06,329.41,312.26,323.96,321.15,335.79,318.30
20250910,317.99,322.00,313.00,316.04,-1.24,367527,11649704,1.919400,313.08,311.16,317.03,308.17,319.14,317.18,323.16,314.13
20250911,315.55,322.98,309.04,322.55,2.06,380345,12060757,1.919400,310.68,317.57,317.99,304.27,316.69,323.71,324.15,310.15
20250912,325.90,329.90,322.20,325.00,0.76,338713,11031033,1.919400,320.87,319.98,324.81,317.23,327.08,326.17,331.09,323.36
20250915,346.01,371.52,344.02,354.70,9.14,718410,25586615,1.919400,340.67,349.22,365.78,338.71,347.26,355.98,372.86,345.26
20250916,356.11,359.00,348.50,353.42,-0.36,377445,13325722,1.919400,350.61,347.96,353.46,343.12,357.39,354.70,360.30,349.76
20250917,356.80,381.88,354.00,377.10,6.70,543771,20113064,1.919400,351.29,371.28,375.98,348.53,358.09,378.46,383.26,355.28
20250918,374.59,380.00,360.80,366.89,-2.71,518897,19308546,1.919400,368.81,361.23,374.13,355.23,375.94,368.21,381.37,362.10
20250919,365.00,375.71,361.72,368.49,0.44,339149,12515444,1.919400,359.36,362.80,369.91,356.14,366.32,369.82,377.07,363.03
20250922,370.50,372.72,362.78,370.05,0.42,285278,10474485,1.919400,364.78,364.34,366.97,357.18,371.84,371.39,374.06,364.09
20250923,368.00,376.96,360.00,368.15,-0.51,348493,12813882,1.919400,362.32,362.47,371.14,354.44,369.33,369.48,378.32,361.30
20250924,371.00,380.00,366.06,379.93,3.20,383145,14311189,1.919400,365.27,374.06,374.13,360.41,372.34,381.30,381.37,367.38
20250925,376.60,402.59,376.47,392.85,3.40,466393,18251422,1.919400,370.79,386.78,396.37,370.66,377.96,394.27,404.04,377.83
20250926,392.02,399.99,380.00,380.40,-3.17,362633,14106500,1.919400,385.97,374.53,393.81,374.13,393.43,381.77,401.43,381.37
20250929,386.34,399.89,386.01,397.37,4.46,389647,15381134,1.919400,380.37,391.23,393.72,380.05,387.73,398.80,401.33,387.40
20250930,396.00,408.88,396.00,402.00,1.17,330313,13278446,1.919400,389.89,395.79,402.57,389.89,397.43,403.45,410.36,397.43
20251009,399.98,424.36,399.74,409.89,1.96,412088,16989123,1.919400,393.80,403.56,417.81,393.57,401.42,411.37,425.89,401.18
20251010,401.00,403.80,379.01,381.95,-6.82,533118,20684331,1.919400,394.81,376.05,397.57,373.16,402.45,383.33,405.26,380.38
20251013,362.86,384.60,362.86,374.50,-1.95,471510,17618650,1.919400,357.26,368.72,378.66,357.26,364.17,375.85,385.99,364.17
20251014,381.00,385.80,355.77,358.00,-4.41,496399,18319371,1.919400,375.12,352.47,379.84,350.28,382.37,359.29,387.19,357.05
20251015,358.50,369.71,354.76,369.30,3.16,369934,13383853,1.919400,352.96,363.60,364.00,349.28,359.79,370.63,371.04,356.04
20251016,367.50,373.90,364.50,368.50,-0.22,276295,10185159,1.919400,361.83,362.81,368.13,358.87,368.83,369.83,375.25,365.82
20251017,367.50,375.00,356.99,358.14,-2.81,319058,11588826,1.919400,361.83,352.61,369.21,351.48,368.83,359.43,376.35,358.28
20251020,365.00,368.89,359.53,366.50,2.33,284324,10372513,1.919400,359.36,360.84,363.19,353.98,366.32,367.82,370.22,360.83
20251021,373.00,381.35,363.10,375.90,2.56,446329,16784957,1.919400,367.24,370.10,375.46,357.49,374.35,377.26,382.73,364.41
20251022,375.90,378.88,368.20,372.86,-0.81,219459,8178935,1.919400,370.10,367.10,373.03,362.52,377.26,374.21,380.25,369.53
20251023,373.80,378.80,369.00,376.45,0.96,239981,8982628,1.919400,368.03,370.64,372.95,363.30,375.15,377.81,380.17,370.33
20251024,379.97,387.80,378.00,385.77,2.48,320416,12276721,1.919400,374.10,379.81,381.81,372.16,381.34,387.16,389.20,379.36
20251027,393.00,393.00,376.57,386.18,0.11,404510,15542853,1.919400,386.93,380.22,386.93,370.76,394.42,387.57,394.42,377.93
20251028,386.16,393.80,383.02,386.48,0.08,287083,11160797,1.919400,380.20,380.51,387.72,377.11,387.55,387.87,395.22,384.40
20251029,386.00,400.04,384.70,400.00,3.50,344740,13644645,1.919400,380.04,393.82,393.86,378.76,387.39,401.44,401.48,386.09
20251030,405.98,409.08,396.83,398.29,-0.43,343061,13797530,1.919400,399.71,392.14,402.76,390.70,407.44,399.73,410.56,398.26
20251031,398.00,406.80,388.20,388.77,-2.39,340484,13515773,1.919400,391.85,382.77,400.52,382.21,399.44,390.17,408.27,389.60
20251103,387.00,391.91,375.77,386.86,-0.49,263682,10106567,1.919400,381.02,380.89,385.86,369.97,388.40,388.26,393.32,377.13
20251104,383.06,386.50,374.00,378.95,-2.04,239391,9091842,1.919400,377.15,373.10,380.53,368.23,384.44,380.32,387.89,375.35
20251105,372.85,393.00,372.00,388.70,2.57,311425,11937587,1.919400,367.09,382.70,386.93,366.26,374.20,390.10,394.42,373.34
20251106,390.00,399.49,388.70,394.68,1.54,234475,9261688,1.919400,383.98,388.59,393.32,382.70,391.41,396.10,400.93,390.10
20251107,393.50,397.51,388.88,395.37,0.17,165549,6516185,1.919400,387.42,389.27,391.37,382.88,394.92,396.80,398.94,390.28
20251110,398.40,400.31,383.32,384.51,-2.75,238960,9267204,1.919400,392.25,378.57,394.13,377.40,399.84,385.90,401.75,384.70
20251111,386.00,394.77,384.50,385.60,0.28,193032,7500041,1.919400,380.04,379.65,388.67,378.56,387.39,386.99,396.19,385.89
20251112,390.78,392.99,383.98,386.38,0.20,212998,8261238,1.919400,384.75,380.41,386.92,378.05,392.19,387.77,394.41,385.37
20251113,385.05,421.30,385.05,415.60,7.56,562654,22945442,1.919400,379.10,409.18,414.80,379.10,386.44,417.10,422.82,386.44
20251114,407.00,414.60,403.88,404.12,-2.76,241721,9879120,1.919400,400.72,397.88,408.20,397.64,408.47,405.58,416.10,405.34
20251117,388.00,392.40,382.50,390.78,-3.30,476855,18542294,1.919400,382.01,384.75,386.34,376.59,389.40,392.19,393.82,383.88
20251118,389.00,398.63,381.00,385.00,-1.48,395658,15353868,1.919400,382.99,379.06,392.48,375.12,390.40,386.39,400.07,382.37
20251119,385.50,398.44,384.96,391.10,1.58,292667,11462349,1.919400,379.55,385.06,392.29,379.02,386.89,392.51,399.88,386.35
20251120,394.90,395.00,377.01,379.39,-2.99,336743,12895239,1.919400,388.80,373.53,388.90,371.19,396.32,380.76,396.43,378.37
20251121,375.00,383.00,370.00,370.00,-2.48,316313,11850710,1.919400,369.21,364.29,377.09,364.29,376.35,371.33,384.38,371.33
20251124,373.80,374.90,367.18,370.55,0.15,228458,8464724,1.919400,368.03,364.83,369.11,361.51,375.15,371.89,376.25,368.50
20251125,375.00,379.66,370.59,372.36,0.49,206332,7733117,1.919400,369.21,366.61,373.80,364.87,376.35,373.70,381.03,371.93
20251126,375.50,375.50,370.07,372.82,0.12,189107,7048904,1.919400,369.70,367.06,369.70,364.36,376.85,374.17,376.85,371.41
20251127,373.00,378.88,370.00,371.20,-0.43,222003,8289125,1.919400,367.24,365.47,373.03,364.29,374.35,372.54,380.25,371.33
20251128,370.50,375.48,366.16,373.20,0.54,203403,7542337,1.919400,364.78,367.44,369.68,360.51,371.84,374.55,376.83,367.48
20251201,374.76,382.97,374.03,382.97,2.62,267510,10120863,1.919400,368.97,377.06,377.06,368.26,376.11,384.35,384.35,375.38
20251202,383.50,384.98,377.40,380.08,-0.75,163485,6220570,1.919400,377.58,374.21,379.04,371.57,384.88,381.45,386.37,378.76
20251203,380.09,383.37,375.00,376.08,-1.05,139911,5294872,1.919400,374.22,370.27,377.45,369.21,381.46,377.44,384.75,376.35
